Step,Accuracy type,Differential Privacy,Accuracy
37,Male,High DP (ε=1.15),0.49532711
74,Male,High DP (ε=1.15),0.494777336
111,Male,High DP (ε=1.15),0.494777336
148,Male,High DP (ε=1.15),0.494777336
185,Male,High DP (ε=1.15),0.495876846
222,Male,High DP (ε=1.15),0.497526131
259,Male,High DP (ε=1.15),0.49642662
296,Male,High DP (ε=1.15),0.496976357
333,Male,High DP (ε=1.15),0.498075867
370,Male,High DP (ε=1.15),0.498625603
407,Male,High DP (ε=1.15),0.50467289
444,Male,High DP (ε=1.15),0.51951622
481,Male,High DP (ε=1.15),0.526113243
518,Male,High DP (ε=1.15),0.537658043
555,Male,High DP (ε=1.15),0.536008797
592,Male,High DP (ε=1.15),0.548103371
629,Male,High DP (ε=1.15),0.546454086
666,Male,High DP (ε=1.15),0.54590435
703,Male,High DP (ε=1.15),0.551401863
740,Male,High DP (ε=1.15),0.547553596
777,Male,High DP (ε=1.15),0.561297417
814,Male,High DP (ε=1.15),0.55634964
851,Male,High DP (ε=1.15),0.560197906
888,Male,High DP (ε=1.15),0.560747681
925,Male,High DP (ε=1.15),0.564046173
962,Male,High DP (ε=1.15),0.567344704
999,Male,High DP (ε=1.15),0.567344704
1036,Male,High DP (ε=1.15),0.567344704
1073,Male,High DP (ε=1.15),0.56679493
1110,Male,High DP (ε=1.15),0.571742706
1147,Male,High DP (ε=1.15),0.568444214
1184,Male,High DP (ε=1.15),0.575590973
1221,Male,High DP (ε=1.15),0.57119297
1258,Male,High DP (ε=1.15),0.575590973
1295,Male,High DP (ε=1.15),0.575041237
1332,Male,High DP (ε=1.15),0.56789444
1369,Male,High DP (ε=1.15),0.577240257
1406,Male,High DP (ε=1.15),0.586586037
1443,Male,High DP (ε=1.15),0.588235283
1480,Male,High DP (ε=1.15),0.59538208
1517,Male,High DP (ε=1.15),0.597031326
1554,Male,High DP (ε=1.15),0.599780083
1591,Male,High DP (ε=1.15),0.601979103
1628,Male,High DP (ε=1.15),0.5975811
1665,Male,High DP (ε=1.15),0.600329857
1702,Male,High DP (ε=1.15),0.605277634
1739,Male,High DP (ε=1.15),0.602528877
1776,Male,High DP (ε=1.15),0.604727859
1813,Male,High DP (ε=1.15),0.615722923
1850,Male,High DP (ε=1.15),0.611324921
1887,Male,High DP (ε=1.15),0.616272659
1924,Male,High DP (ε=1.15),0.620120964
1961,Male,High DP (ε=1.15),0.625068703
1998,Male,High DP (ε=1.15),0.625068703
2035,Male,High DP (ε=1.15),0.624518967
2072,Male,High DP (ε=1.15),0.630016479
2109,Male,High DP (ε=1.15),0.638262787
2146,Male,High DP (ε=1.15),0.637713013
2183,Male,High DP (ε=1.15),0.636613541
37,Male,Low DP (ε=16.2),0.49532711
74,Male,Low DP (ε=16.2),0.49532711
111,Male,Low DP (ε=16.2),0.505222664
148,Male,Low DP (ε=16.2),0.52061573
185,Male,Low DP (ε=16.2),0.536558533
222,Male,Low DP (ε=16.2),0.548653107
259,Male,Low DP (ε=16.2),0.553051109
296,Male,Low DP (ε=16.2),0.552501373
333,Male,Low DP (ε=16.2),0.560747681
370,Male,Low DP (ε=16.2),0.56899395
407,Male,Low DP (ε=16.2),0.574491463
444,Male,Low DP (ε=16.2),0.58493679
481,Male,Low DP (ε=16.2),0.602528877
518,Male,Low DP (ε=16.2),0.60802639
555,Male,Low DP (ε=16.2),0.614073677
592,Male,Low DP (ε=16.2),0.63331501
629,Male,Low DP (ε=16.2),0.637713013
666,Male,Low DP (ε=16.2),0.647058792
703,Male,Low DP (ε=16.2),0.66904892
740,Male,Low DP (ε=16.2),0.677295227
777,Male,Low DP (ε=16.2),0.691039047
814,Male,Low DP (ε=16.2),0.706432114
851,Male,Low DP (ε=16.2),0.713029175
888,Male,Low DP (ε=16.2),0.728422241
925,Male,Low DP (ε=16.2),0.738867493
962,Male,Low DP (ε=16.2),0.746564026
999,Male,Low DP (ε=16.2),0.749862595
1036,Male,Low DP (ε=16.2),0.759208374
1073,Male,Low DP (ε=16.2),0.76085762
1110,Male,Low DP (ε=16.2),0.77240242
1147,Male,Low DP (ε=16.2),0.77240242
1184,Male,Low DP (ε=16.2),0.779549179
1221,Male,Low DP (ε=16.2),0.780098953
1258,Male,Low DP (ε=16.2),0.782297974
1295,Male,Low DP (ε=16.2),0.784496994
1332,Male,Low DP (ε=16.2),0.780098953
1369,Male,Low DP (ε=16.2),0.789444733
1406,Male,Low DP (ε=16.2),0.792193527
1443,Male,Low DP (ε=16.2),0.792193527
1480,Male,Low DP (ε=16.2),0.794942245
1517,Male,Low DP (ε=16.2),0.790544281
1554,Male,Low DP (ε=16.2),0.797141266
1591,Male,Low DP (ε=16.2),0.790544281
1628,Male,Low DP (ε=16.2),0.793292999
1665,Male,Low DP (ε=16.2),0.794392548
1702,Male,Low DP (ε=16.2),0.796041794
1739,Male,Low DP (ε=16.2),0.79769104
1776,Male,Low DP (ε=16.2),0.804837799
1813,Male,Low DP (ε=16.2),0.803738327
1850,Male,Low DP (ε=16.2),0.802089081
1887,Male,Low DP (ε=16.2),0.802638779
1924,Male,Low DP (ε=16.2),0.803738327
1961,Male,Low DP (ε=16.2),0.804288101
1998,Male,Low DP (ε=16.2),0.810885086
2035,Male,Low DP (ε=16.2),0.809785614
2072,Male,Low DP (ε=16.2),0.805937347
2109,Male,Low DP (ε=16.2),0.812534332
2146,Male,Low DP (ε=16.2),0.807036819
2183,Male,Low DP (ε=16.2),0.805387573
37,Male,Non-DP,0.866959839
74,Male,Non-DP,0.877405167
111,Male,Non-DP,0.865860367
148,Male,Non-DP,0.884551926
185,Male,Non-DP,0.880703659
222,Male,Non-DP,0.881803207
259,Male,Non-DP,0.882902679
296,Male,Non-DP,0.881253433
333,Male,Non-DP,0.874656372
370,Male,Non-DP,0.877954941
407,Male,Non-DP,0.881803207
444,Male,Non-DP,0.8735569
481,Male,Non-DP,0.877405167
518,Male,Non-DP,0.874656372
555,Male,Non-DP,0.877405167
592,Male,Non-DP,0.877405167
629,Male,Non-DP,0.868059387
666,Male,Non-DP,0.870258408
703,Male,Non-DP,0.877405167
740,Male,Non-DP,0.881253433
777,Male,Non-DP,0.879054413
814,Male,Non-DP,0.880153961
851,Male,Non-DP,0.880153961
888,Male,Non-DP,0.881253433
925,Male,Non-DP,0.884551926
962,Male,Non-DP,0.870808105
999,Male,Non-DP,0.877954941
1036,Male,Non-DP,0.88730072
1073,Male,Non-DP,0.875206146
1110,Male,Non-DP,0.875206146
1147,Male,Non-DP,0.8851017
1184,Male,Non-DP,0.889499741
1221,Male,Non-DP,0.890599213
1258,Male,Non-DP,0.882902679
1295,Male,Non-DP,0.878504639
1332,Male,Non-DP,0.876305695
1369,Male,Non-DP,0.883452454
1406,Male,Non-DP,0.880153961
1443,Male,Non-DP,0.869158859
1480,Male,Non-DP,0.883452454
1517,Male,Non-DP,0.865860367
1554,Male,Non-DP,0.880153961
1591,Male,Non-DP,0.875206146
1628,Male,Non-DP,0.875206146
1665,Male,Non-DP,0.875206146
1702,Male,Non-DP,0.884002228
1739,Male,Non-DP,0.882352905
1776,Male,Non-DP,0.88730072
1813,Male,Non-DP,0.886201172
1850,Male,Non-DP,0.884551926
1887,Male,Non-DP,0.877954941
1924,Male,Non-DP,0.882352905
1961,Male,Non-DP,0.868059387
1998,Male,Non-DP,0.87135788
2035,Male,Non-DP,0.870808105
2072,Male,Non-DP,0.8851017
2109,Male,Non-DP,0.8851017
2146,Male,Non-DP,0.876305695
2183,Male,Non-DP,0.877405167
